school_set,school_count,cycle,party,donor_count
top_10,10,2008,DEM,843
top_10,10,2008,REP,83
top_10,10,2012,DEM,1533
top_10,10,2012,REP,66
top_10,10,2016,DEM,2875
top_10,10,2016,REP,117
top_10,10,2020,DEM,9084
top_10,10,2020,REP,291
top_10,10,2024,DEM,4977
top_10,10,2024,REP,227
top_25,25,2008,DEM,1694
top_25,25,2008,REP,169
top_25,25,2012,DEM,2892
top_25,25,2012,REP,147
top_25,25,2016,DEM,6330
top_25,25,2016,REP,283
top_25,25,2020,DEM,19877
top_25,25,2020,REP,664
top_25,25,2024,DEM,10653
top_25,25,2024,REP,489
top_150,150,2008,DEM,3829
top_150,150,2008,REP,603
top_150,150,2012,DEM,6337
top_150,150,2012,REP,586
top_150,150,2016,DEM,16873
top_150,150,2016,REP,1107
top_150,150,2020,DEM,51826
top_150,150,2020,REP,2514
top_150,150,2024,DEM,27724
top_150,150,2024,REP,1801
