institution,rank_2025,party,total
Stanford,4,DEM,6901068.0
Harvard,3,DEM,6547147.0
Columbia,13,DEM,5358528.0
NYU,30,DEM,5169759.0
Michigan,21,DEM,4894702.0
MIT,2,DEM,4624669.0
UCLA,15,DEM,4417428.0
Washington,46,DEM,4338284.0
UC Berkeley,17,DEM,3660198.0
Yale,5,DEM,3357015.0
Chicago,11,DEM,3273614.0
Penn,10,DEM,3231620.0
USC,27,DEM,3106874.0
San Diego,109,DEM,2998142.0
Northwestern,6,DEM,2915916.0
Emory,24,DEM,2788753.0
Boston Univ,41,DEM,2563725.0
Duke,6,DEM,2520416.0
Minnesota,54,DEM,2317388.0
Maryland,44,DEM,2301222.0
Georgetown,24,DEM,2227260.0
Johns Hopkins,6,DEM,2122969.0
Princeton,1,DEM,2064606.0
Rutgers,41,DEM,1982362.0
UC Davis,33,DEM,1973309.0
Cornell,11,DEM,1958709.0
Indiana,73,DEM,1866274.0
Tufts,37,DEM,1672471.0
UW Madison,39,DEM,1617147.0
Ohio St,41,DEM,1565954.0
Michigan St,63,DEM,1540519.0
American,91,DEM,1500744.0
Vanderbilt,18,DEM,1497161.0
Arizona St,121,DEM,1414589.0
Virginia,24,DEM,1383039.0
Pitt,70,DEM,1372228.0
North Carolina,27,DEM,1301310.0
Iowa,98,DEM,1194898.0
Utah,136,DEM,1194753.0
UT Austin,30,DEM,1112843.0
Rice,18,DEM,1108437.0
Arizona,109,DEM,1075683.0
Brown,13,DEM,1044026.0
Temple,98,DEM,1041416.0
George Washington,63,DEM,1019320.0
Dartmouth,15,DEM,950116.0
U of Miami,63,DEM,941102.0
Florida,30,DEM,912029.0
Northeastern,54,DEM,911531.0
Carnegie Mellon,21,DEM,863486.0
UC San Diego,29,DEM,856535.0
UC Irvine,33,DEM,717259.0
Missouri,109,DEM,709864.0
Kansas,152,DEM,689768.0
VCU,136,DEM,677177.0
Stony Brook,58,DEM,670427.0
Caltech,6,DEM,647481.0
Rochester,44,DEM,636833.0
Boston College,37,DEM,629539.0
Delaware,86,DEM,625098.0
UAB,136,DEM,590786.0
Howard,86,DEM,583121.0
Iowa St,121,DEM,567132.0
Brandeis,63,DEM,565884.0
Oregon,109,DEM,560080.0
Texas A&M,51,DEM,538830.0
Purdue,46,DEM,538603.0
Santa Clara,63,DEM,521335.0
Denver,121,DEM,510377.0
George Mason,109,DEM,507556.0
Georgia Tech,33,DEM,504701.0
Fordham,91,DEM,503042.0
Oregon St,144,DEM,483450.0
Syracuse,73,DEM,476821.0
Drexel,86,DEM,452364.0
Connecticut,70,DEM,452058.0
Houston,144,DEM,450388.0
Georgia,46,DEM,450319.0
USF,91,DEM,446813.0
Notre Dame,18,DEM,440738.0
Illinois Chicago,80,DEM,430980.0
NC State,58,DEM,400759.0
Case Western,51,DEM,383672.0
William & Mary,54,DEM,363333.0
UMass Amherst,58,DEM,353871.0
SMU,91,DEM,351949.0
Clemson,80,DEM,348724.0
Tennessee,109,DEM,348067.0
Thomas Jefferson,136,DEM,344112.0
Colorado St,148,DEM,336856.0
Oklahoma,132,DEM,328588.0
Wake Forest,46,DEM,326449.0
Washington Univ,21,DEM,323760.0
South Carolina,121,DEM,317254.0
Clark,132,DEM,299705.0
Colorado,98,DEM,296556.0
San Francisco,109,DEM,288438.0
Auburn,105,DEM,282589.0
Loyola Chicago,132,DEM,280583.0
Vermont,121,DEM,270432.0
Tulane,63,DEM,260668.0
New Hampshire,109,DEM,242972.0
Florida St,54,DEM,238884.0
Lehigh,46,DEM,233468.0
UMBC,144,DEM,225067.0
Loyola Marymount,91,DEM,220294.0
Villanova,58,DEM,208668.0
Univ at Buffalo,76,DEM,205315.0
Fla International,98,DEM,172851.0
UC Santa Barbara,39,DEM,171741.0
UCF,121,DEM,170476.0
Penn State,63,DEM,166861.0
Yeshiva,98,DEM,165715.0
UC Riverside,76,DEM,157783.0
WPI,86,DEM,157277.0
RPI,70,DEM,156197.0
RIT,91,DEM,152999.0
Saint Louis,105,DEM,151126.0
Chapman,121,DEM,145401.0
CUNY City College,121,DEM,143866.0
San Diego St,109,DEM,141817.0
NJIT,84,DEM,137304.0
Illinois Tech,105,DEM,135841.0
Illinois,33,DEM,135408.0
TCU,105,DEM,132480.0
UC Santa Cruz,84,DEM,131861.0
Marquette,86,DEM,126607.0
Miami Oh,136,DEM,114839.0
James Madison,148,DEM,113042.0
UT Dallas,109,DEM,110853.0
Baylor,91,DEM,105176.0
Binghamton,73,DEM,93958.0
Brigham Young,109,DEM,92458.0
Dayton,136,DEM,92012.0
Univ at Albany,121,DEM,88527.0
Col School of Mines,76,DEM,82882.0
Creighton,121,DEM,81829.0
Cal St Fullerton,136,DEM,66965.0
Fairfield,132,DEM,50346.0
Pepperdine,80,DEM,49029.0
Stevens Inst Tech,76,DEM,40183.0
Elon,121,DEM,33100.0
Gonzaga,98,DEM,33061.0
Cal St Long Beach,109,DEM,29946.0
UC Merced,58,DEM,24815.0
Clarkson,152,DEM,21212.0
Michigan Tech,148,DEM,20221.0
Rutgers Camden,98,DEM,14841.0
Virginia Tech,51,DEM,12678.0
Rutgers Newark,80,DEM,9995.0
NYU,30,REP,279912.0
Stanford,4,REP,276140.0
Northwestern,6,REP,215795.0
MIT,2,REP,175085.0
Florida,30,REP,172819.0
UCLA,15,REP,166456.0
Ohio St,41,REP,158398.0
U of Miami,63,REP,154329.0
Purdue,46,REP,151151.0
Columbia,13,REP,149818.0
Vanderbilt,18,REP,142218.0
Johns Hopkins,6,REP,141483.0
Michigan,21,REP,132960.0
Utah,136,REP,124417.0
Indiana,73,REP,119602.0
Duke,6,REP,107959.0
Harvard,3,REP,107703.0
Arizona St,121,REP,101224.0
Baylor,91,REP,98547.0
Tennessee,109,REP,98155.0
Iowa,98,REP,97076.0
USC,27,REP,90792.0
USF,91,REP,89566.0
Penn,10,REP,89531.0
Kansas,152,REP,89440.0
Minnesota,54,REP,85075.0
Georgetown,24,REP,83666.0
UAB,136,REP,81996.0
Temple,98,REP,75421.0
Chapman,121,REP,74116.0
Iowa St,121,REP,73194.0
Auburn,105,REP,73193.0
Chicago,11,REP,66769.0
Washington,46,REP,66560.0
Emory,24,REP,66533.0
Oklahoma,132,REP,63848.0
Yale,5,REP,63727.0
Missouri,109,REP,60163.0
VCU,136,REP,59948.0
Georgia,46,REP,56435.0
Creighton,121,REP,54948.0
UC Davis,33,REP,53577.0
Texas A&M,51,REP,53446.0
Tulane,63,REP,52251.0
Rutgers,41,REP,51279.0
UT Austin,30,REP,50800.0
George Mason,109,REP,49746.0
Maryland,44,REP,49592.0
Wake Forest,46,REP,49339.0
UC Berkeley,17,REP,49002.0
Princeton,1,REP,47968.0
North Carolina,27,REP,46032.0
Pitt,70,REP,45527.0
Notre Dame,18,REP,45163.0
Brigham Young,109,REP,44185.0
Fordham,91,REP,43781.0
Houston,144,REP,42448.0
SMU,91,REP,41814.0
Boston Univ,41,REP,39755.0
Georgia Tech,33,REP,38642.0
Virginia,24,REP,38565.0
Yeshiva,98,REP,35965.0
George Washington,63,REP,33724.0
Clemson,80,REP,32991.0
TCU,105,REP,32584.0
Michigan St,63,REP,31279.0
Florida St,54,REP,29500.0
Marquette,86,REP,28317.0
Rice,18,REP,27557.0
NC State,58,REP,26088.0
American,91,REP,25370.0
Oregon St,144,REP,24869.0
UW Madison,39,REP,23788.0
Syracuse,73,REP,23379.0
Arizona,109,REP,23284.0
WPI,86,REP,22822.0
Cornell,11,REP,22423.0
Lehigh,46,REP,22000.0
Fla International,98,REP,20916.0
Rochester,44,REP,20417.0
Thomas Jefferson,136,REP,19508.0
Brown,13,REP,19102.0
Saint Louis,105,REP,18885.0
South Carolina,121,REP,18017.0
UC San Diego,29,REP,17282.0
UCF,121,REP,17127.0
UC Irvine,33,REP,17004.0
Boston College,37,REP,16242.0
Tufts,37,REP,15945.0
Pepperdine,80,REP,15916.0
RPI,70,REP,15616.0
Oregon,109,REP,15588.0
Illinois Chicago,80,REP,14769.0
Case Western,51,REP,13083.0
Washington Univ,21,REP,12787.0
Stony Brook,58,REP,12475.0
Caltech,6,REP,12413.0
Colorado St,148,REP,12326.0
UT Dallas,109,REP,12080.0
Binghamton,73,REP,11861.0
Delaware,86,REP,11535.0
Drexel,86,REP,11424.0
RIT,91,REP,11076.0
Dartmouth,15,REP,10971.0
Connecticut,70,REP,10844.0
Vermont,121,REP,10825.0
San Diego,109,REP,10560.0
Northeastern,54,REP,9827.0
Penn State,63,REP,9822.0
Villanova,58,REP,9751.0
Carnegie Mellon,21,REP,9171.0
Dayton,136,REP,9010.0
Col School of Mines,76,REP,8678.0
James Madison,148,REP,8269.0
Colorado,98,REP,7450.0
Howard,86,REP,6738.0
Fairfield,132,REP,6705.0
William & Mary,54,REP,6696.0
Denver,121,REP,6492.0
Santa Clara,63,REP,6005.0
San Diego St,109,REP,5209.0
UMBC,144,REP,4711.0
NJIT,84,REP,3990.0
UMass Amherst,58,REP,3639.0
Univ at Buffalo,76,REP,3414.0
Clarkson,152,REP,2829.0
Miami Oh,136,REP,2725.0
New Hampshire,109,REP,2586.0
San Francisco,109,REP,2250.0
UC Santa Barbara,39,REP,2220.0
UC Riverside,76,REP,1473.0
Illinois,33,REP,1350.0
Gonzaga,98,REP,1291.0
Loyola Chicago,132,REP,1225.0
Univ at Albany,121,REP,1218.0
CUNY City College,121,REP,1000.0
Loyola Marymount,91,REP,960.0
Brandeis,63,REP,920.0
Elon,121,REP,835.0
Illinois Tech,105,REP,750.0
Cal St Fullerton,136,REP,502.0
Michigan Tech,148,REP,500.0
UC Merced,58,REP,300.0
Stevens Inst Tech,76,REP,250.0
Cal St Long Beach,109,REP,225.0
Rutgers Camden,98,REP,85.0
