institution,rank_2025,cycle,party,committee_type,total
American,91,2008,DEM,H,5250.0
American,91,2008,DEM,S,7400.0
American,91,2008,DEM,V,6850.0
American,91,2008,DEM,Y,46588.0
American,91,2008,REP,Y,1300.0
Arizona,109,2008,DEM,H,16750.0
Arizona,109,2008,DEM,S,3010.0
Arizona,109,2008,DEM,V,1000.0
Arizona,109,2008,DEM,Y,5041.0
Arizona,109,2008,REP,Y,3912.0
Arizona St,121,2008,DEM,H,3250.0
Arizona St,121,2008,DEM,S,5850.0
Arizona St,121,2008,DEM,V,7050.0
Arizona St,121,2008,DEM,Y,21055.0
Arizona St,121,2008,REP,Y,2650.0
Auburn,105,2008,DEM,Y,716.0
Auburn,105,2008,REP,H,750.0
Auburn,105,2008,REP,Y,1550.0
Baylor,91,2008,DEM,V,650.0
Baylor,91,2008,REP,S,250.0
Baylor,91,2008,REP,Y,1740.0
Binghamton,73,2008,REP,S,4600.0
Binghamton,73,2008,REP,Y,250.0
Boston College,37,2008,DEM,H,250.0
Boston College,37,2008,DEM,S,3550.0
Boston College,37,2008,DEM,V,2450.0
Boston College,37,2008,DEM,Y,7067.0
Boston Univ,41,2008,DEM,H,7900.0
Boston Univ,41,2008,DEM,S,1000.0
Boston Univ,41,2008,DEM,V,4200.0
Boston Univ,41,2008,DEM,Y,33444.0
Boston Univ,41,2008,REP,S,2300.0
Boston Univ,41,2008,REP,Y,4451.0
Brandeis,63,2008,DEM,H,650.0
Brandeis,63,2008,DEM,S,3300.0
Brandeis,63,2008,DEM,V,2100.0
Brandeis,63,2008,DEM,Y,1500.0
Brigham Young,109,2008,DEM,V,300.0
Brigham Young,109,2008,DEM,Y,10210.0
Brigham Young,109,2008,REP,Y,3125.0
Brown,13,2008,DEM,H,500.0
Brown,13,2008,DEM,S,5550.0
Brown,13,2008,DEM,V,1000.0
Brown,13,2008,DEM,Y,2675.0
Brown,13,2008,REP,S,2300.0
Brown,13,2008,REP,Y,1000.0
CUNY City College,121,2008,DEM,H,1300.0
