institution,rank_2025,party,total
Harvard,3,DEM,259989.0
Stanford,4,DEM,197660.0
UCLA,15,DEM,140690.0
Yale,5,DEM,117438.0
Columbia,13,DEM,116252.0
Emory,24,DEM,93107.0
Princeton,1,DEM,86620.0
Tufts,37,DEM,84212.0
Chicago,11,DEM,83368.0
MIT,2,DEM,81610.0
NYU,30,DEM,79046.0
UC Berkeley,17,DEM,66775.0
Duke,6,DEM,59799.0
American,91,DEM,59238.0
Virginia,24,DEM,55876.0
Wake Forest,46,DEM,55716.0
Michigan,21,DEM,55116.0
Penn,10,DEM,52190.0
Rutgers,41,DEM,52016.0
Maryland,44,DEM,51725.0
Washington,46,DEM,51131.0
Northwestern,6,DEM,49990.0
Cornell,11,DEM,46153.0
Boston Univ,41,DEM,42344.0
UW Madison,39,DEM,39840.0
South Carolina,121,DEM,37400.0
William & Mary,54,DEM,35880.0
USC,27,DEM,34759.0
Johns Hopkins,6,DEM,31496.0
Minnesota,54,DEM,30279.0
Arizona St,121,DEM,30155.0
George Washington,63,DEM,29312.0
Arizona,109,DEM,24801.0
Rochester,44,DEM,24050.0
Indiana,73,DEM,23798.0
Georgetown,24,DEM,23693.0
UC Davis,33,DEM,22533.0
Vanderbilt,18,DEM,21850.0
Northeastern,54,DEM,20950.0
North Carolina,27,DEM,20283.0
VCU,136,DEM,19647.0
U of Miami,63,DEM,19366.0
Notre Dame,18,DEM,18840.0
Ohio St,41,DEM,18183.0
Iowa,98,DEM,16248.0
Rice,18,DEM,16055.0
San Francisco,109,DEM,15900.0
Utah,136,DEM,15171.0
Purdue,46,DEM,14108.0
Howard,86,DEM,14100.0
Temple,98,DEM,13528.0
Caltech,6,DEM,13450.0
George Mason,109,DEM,13025.0
Pitt,70,DEM,12800.0
USF,91,DEM,12690.0
UT Austin,30,DEM,12341.0
Oregon,109,DEM,11717.0
UC Irvine,33,DEM,11205.0
Connecticut,70,DEM,11000.0
Boston College,37,DEM,10867.0
Iowa St,121,DEM,10740.0
Illinois Tech,105,DEM,10450.0
Brigham Young,109,DEM,10210.0
Florida,30,DEM,9975.0
Michigan St,63,DEM,9850.0
Fordham,91,DEM,9732.0
Oregon St,144,DEM,9575.0
Georgia,46,DEM,9433.0
Illinois Chicago,80,DEM,8800.0
Brown,13,DEM,8725.0
NC State,58,DEM,8400.0
UMBC,144,DEM,8250.0
Dartmouth,15,DEM,8063.0
WPI,86,DEM,7546.0
Tennessee,109,DEM,7205.0
Carnegie Mellon,21,DEM,7100.0
Texas A&M,51,DEM,6655.0
Miami Oh,136,DEM,6603.0
Drexel,86,DEM,6250.0
Yeshiva,98,DEM,5611.0
Kansas,152,DEM,5558.0
Delaware,86,DEM,5500.0
Brandeis,63,DEM,5450.0
Oklahoma,132,DEM,5184.0
Colorado St,148,DEM,4808.0
Missouri,109,DEM,4800.0
Clemson,80,DEM,4650.0
Santa Clara,63,DEM,4650.0
Tulane,63,DEM,4487.0
Syracuse,73,DEM,4432.0
Case Western,51,DEM,4050.0
Georgia Tech,33,DEM,3950.0
UC San Diego,29,DEM,3701.0
Illinois,33,DEM,3550.0
Thomas Jefferson,136,DEM,3250.0
Florida St,54,DEM,3150.0
Colorado,98,DEM,3050.0
UAB,136,DEM,3025.0
Fla International,98,DEM,2850.0
SMU,91,DEM,2700.0
Stony Brook,58,DEM,2450.0
San Diego,109,DEM,2108.0
Loyola Chicago,132,DEM,2100.0
San Diego St,109,DEM,2000.0
RIT,91,DEM,1900.0
UC Santa Barbara,39,DEM,1900.0
