institution,rank_2025,cycle,party,committee_type,total
American,91,2008,DEM,H,5250.0
American,91,2008,DEM,S,7400.0
American,91,2008,DEM,Y,46588.0
American,91,2008,REP,Y,1300.0
American,91,2012,DEM,H,9450.0
American,91,2012,DEM,S,11400.0
American,91,2012,DEM,Y,16584.0
American,91,2012,REP,H,250.0
American,91,2016,DEM,H,81170.0
American,91,2016,DEM,P,10197.0
American,91,2016,DEM,S,35525.0
American,91,2016,DEM,Y,82433.0
American,91,2016,REP,H,5200.0
American,91,2016,REP,P,150.0
American,91,2016,REP,S,1500.0
American,91,2016,REP,Y,100.0
American,91,2020,DEM,H,70534.0
American,91,2020,DEM,P,30622.0
American,91,2020,DEM,S,83835.0
American,91,2020,DEM,Y,92570.0
American,91,2020,REP,H,1750.0
American,91,2020,REP,S,11100.0
American,91,2020,REP,Y,300.0
Arizona,109,2008,DEM,H,16750.0
Arizona,109,2008,DEM,S,3010.0
Arizona,109,2008,DEM,Y,5041.0
Arizona,109,2008,REP,Y,3912.0
Arizona,109,2012,DEM,H,2950.0
Arizona,109,2012,DEM,S,2450.0
Arizona,109,2012,DEM,Y,6570.0
Arizona,109,2012,REP,H,500.0
Arizona,109,2012,REP,S,1250.0
Arizona,109,2012,REP,Y,4959.0
Arizona,109,2016,DEM,H,1425.0
Arizona,109,2016,DEM,P,13289.0
Arizona,109,2016,DEM,S,9558.0
Arizona,109,2016,DEM,Y,19551.0
Arizona,109,2016,REP,P,450.0
Arizona,109,2016,REP,Y,731.0
Arizona,109,2020,DEM,H,13571.0
Arizona,109,2020,DEM,P,23730.0
Arizona,109,2020,DEM,S,211308.0
Arizona,109,2020,DEM,Y,22224.0
Arizona,109,2020,REP,H,100.0
Arizona,109,2020,REP,Y,1085.0
Arizona St,121,2008,DEM,H,21400.0
Arizona St,121,2008,DEM,S,16819.0
Arizona St,121,2008,DEM,Y,256216.0
Arizona St,121,2008,REP,H,26550.0
Arizona St,121,2008,REP,S,17750.0
Arizona St,121,2008,REP,Y,77170.0
