institution,rank_2025,party,total
RIT,91,DEM,11572808.0
MIT,2,DEM,10046010.0
San Diego,109,DEM,2823389.0
Harvard,3,DEM,2421602.0
Stanford,4,DEM,2105476.0
USC,27,DEM,1797519.0
Columbia,13,DEM,1712065.0
Michigan,21,DEM,1485045.0
Arizona St,121,DEM,1467926.0
UCLA,15,DEM,1430344.0
NYU,30,DEM,1412497.0
Washington,46,DEM,1335450.0
Yale,5,DEM,1106824.0
Emory,24,DEM,975095.0
UC Berkeley,17,DEM,965260.0
Chicago,11,DEM,957838.0
Penn,10,DEM,948026.0
Boston Univ,41,DEM,824717.0
Duke,6,DEM,781569.0
Northwestern,6,DEM,764570.0
Illinois Chicago,80,DEM,701108.0
Princeton,1,DEM,695459.0
Maryland,44,DEM,683852.0
Rutgers,41,DEM,680481.0
Minnesota,54,DEM,659850.0
Tufts,37,DEM,658023.0
Johns Hopkins,6,DEM,636491.0
UC Davis,33,DEM,624178.0
American,91,DEM,583558.0
Cornell,11,DEM,582736.0
Virginia,24,DEM,578436.0
Georgetown,24,DEM,568945.0
UT Dallas,109,DEM,491390.0
Indiana,73,DEM,478834.0
Temple,98,DEM,475050.0
Ohio St,41,DEM,459688.0
Vanderbilt,18,DEM,436329.0
UW Madison,39,DEM,429879.0
SMU,91,DEM,408131.0
Pitt,70,DEM,395036.0
Michigan St,63,DEM,376762.0
Utah,136,DEM,351935.0
Arizona,109,DEM,351427.0
North Carolina,27,DEM,350442.0
Iowa,98,DEM,336785.0
Dartmouth,15,DEM,333806.0
George Washington,63,DEM,320927.0
Florida,30,DEM,310983.0
Northeastern,54,DEM,294727.0
RPI,70,DEM,285854.0
Rice,18,DEM,273976.0
UT Austin,30,DEM,270875.0
Brown,13,DEM,260630.0
U of Miami,63,DEM,248757.0
VCU,136,DEM,248079.0
UC San Diego,29,DEM,236315.0
USF,91,DEM,231840.0
Boston College,37,DEM,208012.0
Caltech,6,DEM,202173.0
Connecticut,70,DEM,197543.0
Carnegie Mellon,21,DEM,196879.0
Howard,86,DEM,196412.0
Brandeis,63,DEM,189954.0
Purdue,46,DEM,186867.0
Rochester,44,DEM,175824.0
Fordham,91,DEM,174753.0
Delaware,86,DEM,169250.0
Iowa St,121,DEM,167829.0
