school_set,school_count,cycle,party,donor_count
top_10,10,2008,DEM,671
top_10,10,2008,REP,83
top_10,10,2012,DEM,1403
top_10,10,2012,REP,66
top_10,10,2016,DEM,2256
top_10,10,2016,REP,117
top_10,10,2020,DEM,5560
top_10,10,2020,REP,229
top_10,10,2024,DEM,2724
top_10,10,2024,REP,140
top_25,25,2008,DEM,1366
top_25,25,2008,REP,169
top_25,25,2012,DEM,2567
top_25,25,2012,REP,147
top_25,25,2016,DEM,4947
top_25,25,2016,REP,283
top_25,25,2020,DEM,12278
top_25,25,2020,REP,519
top_25,25,2024,DEM,5956
top_25,25,2024,REP,313
top_150,150,2008,DEM,3045
top_150,150,2008,REP,603
top_150,150,2012,DEM,5555
top_150,150,2012,REP,586
top_150,150,2016,DEM,13125
top_150,150,2016,REP,1107
top_150,150,2020,DEM,31464
top_150,150,2020,REP,1955
top_150,150,2024,DEM,15643
top_150,150,2024,REP,1155
