institution,rank_2025,party,total
Harvard,3,DEM,3271801.0
Stanford,4,DEM,2965371.0
San Diego,109,DEM,2838522.0
Columbia,13,DEM,2228571.0
Michigan,21,DEM,2205478.0
Washington,46,DEM,1951556.0
NYU,30,DEM,1934163.0
UCLA,15,DEM,1892409.0
MIT,2,DEM,1751153.0
UC Berkeley,17,DEM,1604624.0
Yale,5,DEM,1516465.0
USC,27,DEM,1372353.0
Chicago,11,DEM,1361887.0
Penn,10,DEM,1313555.0
Emory,24,DEM,1301428.0
Northwestern,6,DEM,1240235.0
Boston Univ,41,DEM,1138456.0
Maryland,44,DEM,1090248.0
Duke,6,DEM,1053613.0
Tufts,37,DEM,995577.0
Princeton,1,DEM,969379.0
Minnesota,54,DEM,929340.0
Rutgers,41,DEM,887102.0
Johns Hopkins,6,DEM,881104.0
Georgetown,24,DEM,866145.0
UC Davis,33,DEM,843427.0
American,91,DEM,811713.0
Cornell,11,DEM,798615.0
UW Madison,39,DEM,734635.0
Virginia,24,DEM,686437.0
Indiana,73,DEM,683637.0
Michigan St,63,DEM,678363.0
Vanderbilt,18,DEM,651919.0
Pitt,70,DEM,606301.0
Ohio St,41,DEM,577476.0
Arizona St,121,DEM,548784.0
Temple,98,DEM,535483.0
North Carolina,27,DEM,534437.0
Iowa,98,DEM,527546.0
Utah,136,DEM,468741.0
Arizona,109,DEM,452958.0
George Washington,63,DEM,445922.0
UT Austin,30,DEM,424205.0
Dartmouth,15,DEM,404193.0
Florida,30,DEM,390197.0
Brown,13,DEM,382881.0
Northeastern,54,DEM,378543.0
Rice,18,DEM,376948.0
UC San Diego,29,DEM,361858.0
U of Miami,63,DEM,355943.0
Carnegie Mellon,21,DEM,327881.0
UC Irvine,33,DEM,297016.0
Caltech,6,DEM,295975.0
VCU,136,DEM,288693.0
Howard,86,DEM,285818.0
Boston College,37,DEM,264084.0
Delaware,86,DEM,251001.0
Iowa St,121,DEM,248777.0
Missouri,109,DEM,247724.0
Rochester,44,DEM,247082.0
Kansas,152,DEM,244255.0
George Mason,109,DEM,241841.0
Purdue,46,DEM,240771.0
Connecticut,70,DEM,235134.0
Texas A&M,51,DEM,233428.0
Brandeis,63,DEM,232919.0
Stony Brook,58,DEM,228526.0
Oregon,109,DEM,219165.0
Fordham,91,DEM,213106.0
Houston,144,DEM,208309.0
Denver,121,DEM,206533.0
Georgia Tech,33,DEM,205998.0
Illinois Chicago,80,DEM,200410.0
Santa Clara,63,DEM,195980.0
William & Mary,54,DEM,190141.0
Drexel,86,DEM,184788.0
UAB,136,DEM,182097.0
Oregon St,144,DEM,177164.0
Clemson,80,DEM,173811.0
USF,91,DEM,169429.0
South Carolina,121,DEM,167253.0
Tennessee,109,DEM,162039.0
Wake Forest,46,DEM,159648.0
Georgia,46,DEM,159578.0
Notre Dame,18,DEM,159434.0
Thomas Jefferson,136,DEM,153905.0
Syracuse,73,DEM,145305.0
Oklahoma,132,DEM,143602.0
San Francisco,109,DEM,133278.0
UMass Amherst,58,DEM,128054.0
Colorado St,148,DEM,127790.0
Case Western,51,DEM,120098.0
Clark,132,DEM,118489.0
NC State,58,DEM,117798.0
Tulane,63,DEM,117295.0
SMU,91,DEM,111291.0
Vermont,121,DEM,108085.0
Loyola Chicago,132,DEM,108022.0
Colorado,98,DEM,106586.0
New Hampshire,109,DEM,104352.0
Washington Univ,21,DEM,99150.0
Lehigh,46,DEM,97972.0
Penn State,63,DEM,95893.0
Florida St,54,DEM,93933.0
UMBC,144,DEM,88176.0
Villanova,58,DEM,87889.0
UC Santa Barbara,39,DEM,86376.0
WPI,86,DEM,81857.0
Yeshiva,98,DEM,80270.0
Univ at Buffalo,76,DEM,76616.0
RIT,91,DEM,72635.0
UC Riverside,76,DEM,69437.0
Loyola Marymount,91,DEM,67643.0
Auburn,105,DEM,66045.0
Fla International,98,DEM,65958.0
NJIT,84,DEM,65671.0
San Diego St,109,DEM,64689.0
RPI,70,DEM,63546.0
TCU,105,DEM,61409.0
Illinois Tech,105,DEM,60442.0
Chapman,121,DEM,59988.0
UCF,121,DEM,58932.0
CUNY City College,121,DEM,51972.0
UC Santa Cruz,84,DEM,51872.0
Marquette,86,DEM,50052.0
James Madison,148,DEM,48950.0
Miami Oh,136,DEM,48345.0
Baylor,91,DEM,43099.0
Saint Louis,105,DEM,42879.0
UT Dallas,109,DEM,41919.0
Brigham Young,109,DEM,41649.0
Dayton,136,DEM,38997.0
Illinois,33,DEM,38609.0
Univ at Albany,121,DEM,33782.0
Binghamton,73,DEM,33547.0
Cal St Fullerton,136,DEM,30926.0
Col School of Mines,76,DEM,29117.0
Creighton,121,DEM,28781.0
Pepperdine,80,DEM,19517.0
Fairfield,132,DEM,17955.0
Stevens Inst Tech,76,DEM,14355.0
Gonzaga,98,DEM,13784.0
