cycle,party,total
2000,DEM,525689.0
2000,REP,249287.0
2002,DEM,419760.0
2002,REP,192250.0
2004,DEM,2917850.42
2004,REP,539017.52
2006,DEM,2435803.55
2006,REP,401394.5
2008,DEM,4011054.52
2008,REP,921084.44
2010,DEM,4185085.33
2010,REP,455038.47
2012,DEM,7863435.12
2012,REP,1175867.4
2014,DEM,5222621.26
2014,REP,659325.92
2016,DEM,10127612.1
2016,REP,888573.13
2018,DEM,10609186.66
2018,REP,605645.97
2020,DEM,26733433.18
2020,REP,1392294.87
2022,DEM,17104272.58
2022,REP,975838.82
2024,DEM,19629264.34
2024,REP,1140807.13
2026,DEM,7035342.53
2026,REP,550338.09
