institution,rank_2025,cycle,party,total
American,91,2000,DEM,2000.0
American,91,2000,REP,500.0
American,91,2002,DEM,11520.0
American,91,2002,REP,2000.0
American,91,2004,DEM,17183.0
American,91,2004,REP,3518.46
American,91,2006,DEM,39952.0
American,91,2006,REP,200.0
American,91,2008,DEM,88919.05
American,91,2008,REP,2066.0
American,91,2010,DEM,51768.0
American,91,2010,REP,1720.0
American,91,2012,DEM,56946.8
American,91,2012,REP,812.0
American,91,2014,DEM,120110.0
American,91,2014,REP,8635.0
American,91,2016,DEM,252623.69
American,91,2016,REP,7150.0
American,91,2018,DEM,196020.77
American,91,2018,REP,5662.5
American,91,2020,DEM,301766.8
American,91,2020,REP,13150.0
American,91,2022,DEM,207754.45
American,91,2022,REP,1000.0
American,91,2024,DEM,341851.84
American,91,2024,REP,805.0
American,91,2026,DEM,71277.34
American,91,2026,REP,8456.96
Arizona,109,2000,DEM,850.0
Arizona,109,2000,REP,1450.0
Arizona,109,2002,DEM,4100.0
Arizona,109,2002,REP,2000.0
Arizona,109,2004,DEM,27027.0
Arizona,109,2004,REP,54626.0
Arizona,109,2006,DEM,22020.0
Arizona,109,2006,REP,47242.0
Arizona,109,2008,DEM,30236.0
Arizona,109,2008,REP,7034.0
Arizona,109,2010,DEM,36844.5
Arizona,109,2010,REP,3870.56
Arizona,109,2012,DEM,30031.93
Arizona,109,2012,REP,13332.0
Arizona,109,2014,DEM,22402.120000000003
Arizona,109,2014,REP,2303.0
Arizona,109,2016,DEM,53657.24
Arizona,109,2016,REP,1206.0
Arizona,109,2018,DEM,40817.84
Arizona,109,2018,REP,-700.0
Arizona,109,2020,DEM,288599.84
Arizona,109,2020,REP,2317.2200000000003
Arizona,109,2022,DEM,171576.97
Arizona,109,2022,REP,20396.38
Arizona,109,2024,DEM,106904.78
Arizona,109,2024,REP,3881.56
Arizona,109,2026,DEM,58205.32
Arizona,109,2026,REP,5500.0
Arizona St,121,2000,DEM,2700.0
Arizona St,121,2002,DEM,650.0
Arizona St,121,2004,DEM,16137.0
Arizona St,121,2004,REP,2125.0
