institution,party,total
Stanford,DEM,9278356.32
Harvard,DEM,7042090.54
Columbia,DEM,5526444.69
Michigan,DEM,4189057.71
Washington,DEM,4060122.12
Emory,DEM,3403939.77
Yale,DEM,3279620.93
Penn,DEM,3166372.99
Chicago,DEM,3057174.65
Duke,DEM,3041192.33
Northwestern,DEM,2580279.95
Maryland,DEM,2234059.05
Boston Univ,DEM,2195941.37
Princeton,DEM,2106639.5
Georgetown,DEM,2092377.67
NYU,DEM,2024683.66
Tufts,DEM,1921407.33
Minnesota,DEM,1814861.76
Johns Hopkins,DEM,1785461.32
American,DEM,1759693.74
Cornell,DEM,1692956.3800000001
Rutgers,DEM,1683385.02
Virginia,DEM,1545230.51
Indiana,DEM,1457119.51
Pitt,DEM,1424526.2
Iowa,DEM,1251826.89
Ohio St,DEM,1237069.44
Florida,DEM,1225537.63
Michigan St,DEM,1213828.74
Vanderbilt,DEM,1199386.9
UC Berkeley,DEM,1132955.81
Temple,DEM,1119786.9
USC,DEM,1045367.14
Utah,DEM,969996.0700000001
North Carolina,DEM,963226.22
Rice,DEM,957248.4
George Washington,DEM,956270.41
Brown,DEM,902214.4400000001
Dartmouth,DEM,898841.71
Arizona,DEM,893273.54
Howard,DEM,887203.98
MIT,DEM,853065.55
U of Miami,DEM,834888.08
Northeastern,DEM,791730.33
Arizona St,DEM,709251.1
UW Madison,DEM,697996.6
Carnegie Mellon,DEM,674024.21
George Mason,DEM,634711.59
Rochester,DEM,607960.63
Kansas,DEM,557089.37
Fordham,DEM,541212.7
Boston College,DEM,534255.62
UCLA,DEM,530709.83
Missouri,DEM,529352.44
UT Austin,DEM,527509.92
Purdue,DEM,522570.9
Delaware,DEM,497137.58
Caltech,DEM,496215.0
UC Davis,DEM,494550.12
Connecticut,DEM,486862.51
Iowa St,DEM,468262.87
Denver,DEM,457568.17
Notre Dame,DEM,454035.82
Houston,DEM,437149.75
Stony Brook,DEM,422166.86
Brandeis,DEM,421749.89
Thomas Jefferson,DEM,413780.01
Texas A&M,DEM,411166.08
Drexel,DEM,396527.71
South Carolina,DEM,390505.89
Santa Clara,DEM,379204.6
Oregon,DEM,372893.62
Georgia,DEM,370565.89
Clemson,DEM,367565.71
UC San Diego,DEM,354704.86
Tennessee,DEM,344975.3
San Francisco,DEM,337603.66
Wake Forest,DEM,332029.14
UC Irvine,DEM,331899.23
Oregon St,DEM,328407.29
Syracuse,DEM,327308.81
Oklahoma,DEM,319926.54
VCU,DEM,273883.77
Virginia Tech,DEM,266882.24
