institution,rank_2025,query_term,employer,committee_id,cycle,transaction_count,total,committee_name,committee_type,designation,party_affiliation,candidate_id,candidate_party,resolved_party
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00000935,2004,3,1575.0,DCCC,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00000935,2006,17,3537.0,DCCC,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00000935,2008,20,6341.8,DCCC,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00000935,2010,29,9330.0,DCCC,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY/PROFESSOR,C00000935,2012,2,1000.0,DCCC,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00000935,2012,115,12089.67,DCCC,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY PRESS,C00042366,2010,5,575.0,DSCC,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00000935,2014,165,47835.0,DCCC,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00000935,2020,348,38833.0,DCCC,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00859496,2024,1,500.0,HERB CONAWAY FOR CONGRESS,H,P,DEM,H4NJ03080,DEM,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00326801,2022,3,15.0,TAMMY BALDWIN FOR SENATE,S,P,DEM,S2WI00219,DEM,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00219881,2018,1,1000.0,NITA LOWEY FOR CONGRESS,H,P,DEM,H8NY20056,DEM,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00831537,2024,1,357.14,DAVE MIN FOR CONGRESS,H,P,DEM,H4CA47085,DEM,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY LIBRARY,C00000935,2016,3,21.0,DCCC,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00000935,2016,322,41880.34,DCCC,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00343871,2024,18,1015.0,SCHIFF FOR SENATE,S,P,DEM,S4CA00555,DEM,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00649913,2020,3,550.0,SPANBERGER FOR CONGRESS,H,P,DEM,H8VA07094,DEM,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00044842,2000,1,383.0,REPUBLICAN FEDERAL COMMITTEE OF PENNSYLVANIA,Y,U,REP,,,REP
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00001305,2000,1,215.0,REPUBLICAN PARTY OF VIRGINIA INC,Y,U,REP,,,REP
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00384529,2018,1,500.0,LISA MURKOWSKI FOR US SENATE,S,P,REP,S4AK00099,REP,REP
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00716720,2020,12,8526.92,HICKENLOOPER FOR COLORADO,S,P,DEM,S0CO00575,DEM,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00096412,2010,1,200.0,FRIENDS OF CHRIS SMITH,H,P,REP,H8NJ04014,REP,REP
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00005926,2000,1,362.0,ILLINOIS REPUBLICAN PARTY - FEDERAL,Y,U,REP,,,REP
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00099259,2000,1,414.0,REPUBLICAN PARTY OF FLORIDA,Y,U,REP,,,REP
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00055582,2000,1,540.0,NY REPUBLICAN FEDERAL CAMPAIGN COMMITTEE,Y,U,REP,H0NY27090,REP,REP
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00648220,2018,136,34786.49,ANDY KIM FOR NEW JERSEY,S,P,DEM,S4NJ00466,DEM,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY INVESTMENT COMPAN,C00648220,2018,1,1000.0,ANDY KIM FOR NEW JERSEY,S,P,DEM,S4NJ00466,DEM,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00104471,2000,2,1500.0,NEW JERSEY DEMOCRATIC STATE COMMITTEE,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00104471,2004,4,869.25,NEW JERSEY DEMOCRATIC STATE COMMITTEE,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY/PROFESSOR,C00104471,2008,1,285.0,NEW JERSEY DEMOCRATIC STATE COMMITTEE,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00104471,2010,3,870.0,NEW JERSEY DEMOCRATIC STATE COMMITTEE,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00104471,2012,1,475.0,NEW JERSEY DEMOCRATIC STATE COMMITTEE,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00104471,2016,2,1204.25,NEW JERSEY DEMOCRATIC STATE COMMITTEE,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITYU,C00000935,2020,17,900.0,DCCC,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00027466,2010,1,10000.0,NRSC,Y,U,REP,S4AK00214,REP,REP
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00714964,2020,7,1400.0,DR. CAMERON WEBB FOR CONGRESS,H,P,DEM,H0VA05145,DEM,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00162339,2000,1,346.0,OHIO REPUBLICAN PARTY STATE CENTRAL & EXECUTIVE COMMITTEE,Y,U,REP,,,REP
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00010603,2000,6,2378.0,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00164418,2000,3,10250.0,NEW JERSEY REPUBLICAN STATE COMMITTEE,Y,U,REP,,,REP
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00108613,2008,1,10.0,INDIANA DEMOCRATIC CONGRESSIONAL VICTORY COMMITTEE,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00696526,2026,16,660.0,MARK KELLY FOR SENATE,S,P,DEM,S0AZ00350,DEM,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00010603,2004,162,142991.7,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY PRESS,C00010603,2004,3,1000.0,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00718866,2026,17,725.0,JON OSSOFF FOR SENATE,S,P,DEM,S8GA00180,DEM,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00665638,2024,5,72.48,YOUNG KIM FOR CONGRESS,H,P,REP,H8CA39240,REP,REP
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00167130,2016,1,600.0,PENNSYLVANIA DEMOCRATIC PARTY,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00003418,2004,4,934.0,REPUBLICAN NATIONAL COMMITTEE,Y,U,REP,,,REP
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00299404,2000,4,1250.0,FRELINGHUYSEN FOR CONGRESS,H,P,REP,H2NJ05014,REP,REP
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00299404,2004,11,6450.0,FRELINGHUYSEN FOR CONGRESS,H,P,REP,H2NJ05014,REP,REP
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00299404,2008,4,5100.0,FRELINGHUYSEN FOR CONGRESS,H,P,REP,H2NJ05014,REP,REP
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00299404,2010,2,2700.0,FRELINGHUYSEN FOR CONGRESS,H,P,REP,H2NJ05014,REP,REP
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00299404,2012,3,4750.0,FRELINGHUYSEN FOR CONGRESS,H,P,REP,H2NJ05014,REP,REP
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00299404,2014,2,2000.0,FRELINGHUYSEN FOR CONGRESS,H,P,REP,H2NJ05014,REP,REP
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00299404,2016,2,1500.0,FRELINGHUYSEN FOR CONGRESS,H,P,REP,H2NJ05014,REP,REP
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00326801,2010,1,25.0,TAMMY BALDWIN FOR SENATE,S,P,DEM,S2WI00219,DEM,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00893321,2026,1,250.0,JOSH WEIL FOR SENATE,S,P,DEM,S6FL00756,DEM,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00326801,2012,15,2100.0,TAMMY BALDWIN FOR SENATE,S,P,DEM,S2WI00219,DEM,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY/PROFESSOR,C00326801,2012,1,200.0,TAMMY BALDWIN FOR SENATE,S,P,DEM,S2WI00219,DEM,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00010603,2008,77,23484.47,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00607416,2024,1,500.0,BRIAN FITZPATRICK FOR ALL OF US,H,P,REP,H6PA08277,REP,REP
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00075820,2010,1,200.0,NRCC,Y,U,REP,,,REP
Princeton,1,Princeton University,PRINCETON UNIVERSITY/RETIRED,C00075820,2012,1,200.0,NRCC,Y,U,REP,,,REP
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00010603,2010,224,48757.0,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY PRESS,C00010603,2010,4,200.0,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00003418,2008,3,550.0,REPUBLICAN NATIONAL COMMITTEE,Y,U,REP,,,REP
Princeton,1,Princeton University,PRINCETON UNIVERSITY/FACILITIES,C00010603,2012,1,300.0,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY PRESS,C00010603,2012,4,120.0,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY/PROFESSOR,C00010603,2012,3,675.0,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00226928,2014,2,750.0,PALLONE FOR CONGRESS,H,P,DEM,H8NJ03073,DEM,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00010603,2012,68,21210.0,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY/RETIRED,C00010603,2012,4,1262.0,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,Y,U,DEM,,,DEM
Princeton,1,Princeton University,PRINCETON UNIVERSITY,C00010603,2014,58,11798.0,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,Y,U,DEM,,,DEM
