cycle,party,total
2000,DEM,230835.0
2000,REP,75905.0
2002,DEM,101613.0
2002,REP,77286.0
2004,DEM,1066966.74
2004,REP,148245.0
2006,DEM,633484.05
2006,REP,190043.0
2008,DEM,1229644.94
2008,REP,456860.15
2010,DEM,1234554.86
2010,REP,140460.5
2012,DEM,2469586.0
2012,REP,510840.82
2014,DEM,1617157.56
2014,REP,251878.54
2016,DEM,2476137.42
2016,REP,294192.4
2018,DEM,2570087.11
2018,REP,317907.88
2020,DEM,6078087.49
2020,REP,567506.88
2022,DEM,3545659.57
2022,REP,313660.84
2024,DEM,4465433.04
2024,REP,571739.52
2026,DEM,1514688.78
2026,REP,269783.68
